"","Address","Phone","Hours"
"84","600-1210 Summit Dr Kamloops, V2C 6M1","(250) 828-4319","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"85","78-700 Tranquille Rd Kamloops, V2B 3H9","(250) 828-4113","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"86","3435 Westsyde Rd Kamloops, V2B 7H1","(250) 579-9033","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"87","410 Front St Kaslo, V0G 1M0","(250) 353-2434","Monday: 10:30am - 6:00pm|Tuesday: 10:30am - 6:00pm|Wednesday: 10:30am - 6:00pm|Thursday: 10:30am - 6:00pm|Friday: 10:30am - 8:00pm|Saturday: 10:30am - 6:00pm|Sunday: 11:00am - 6:00pm"
"88","35 - 3155 Lakeshore Rd Kelowna, V1W 3S9","(250) 861-7260","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"89","109-1835 Dilworth Drive Kelowna, V1Y 9T1","(250) 861-7337","Monday: 9:30am - 11:00pm|Tuesday: 9:30am - 11:00pm|Wednesday: 9:30am - 11:00pm|Thursday: 9:30am - 11:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"90","6512 Hastings Street Burnaby, V5B 1S2","(604) 660-0322","Monday: 9:30am - 6:00pm|Tuesday: 9:30am - 6:00pm|Wednesday: 9:30am - 6:00pm|Thursday: 9:30am - 6:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 6:00pm"
"91","609 HYW 3 Keremeos, V0X 1N0","(250) 499-5812","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 7:00pm|Sunday: 11:00am - 6:00pm"
"92","2058 W 41st Ave Vancouver, V6M 1Y8","(604) 266-6922","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"93","425 Mark St Kimberley, V1A 2B5","(250) 427-2322","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"94","7488 King George Hwy Surrey, V3W 0H9","(604) 501-3140","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"95","370 E Broadway Vancouver, V5T 4G5","(604) 660-6675","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"96","550 Mountainview Sq Kitimat, V8C 2N2","(250) 632-6616","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"97","5202 48th Ave Ladner, V4K 1W4","(604) 946-2020","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"98","370 Trans Canada Hwy Ladysmith, V9G 1T9","(250) 245-7359","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"99","93 Darnel Rd Lake Cowichan, V0R 2G0","(250) 749-3424","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"100","6435 201 Street Langley, V2Y 2X4","(604) 532-4911","Monday: 9:30am - 11:00pm|Tuesday: 9:30am - 11:00pm|Wednesday: 9:30am - 11:00pm|Thursday: 9:30am - 11:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"101","155 Main St Lillooet, V0K 1V0","(250) 256-4356","Monday: 10:00 am - 6:00 pm|Tuesday: 10:00 am - 6:00 pm|Wednesday: 10:00 am - 6:00 pm|Thursday: 10:00 am - 6:00 pm|Friday: 10:00 am - 8:00 pm|Saturday: 10:00 am - 6:00 pm"
"102","10 - 150 Opal Dr Logan Lake, V0K 1W0","(250) 523-6712","Monday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Tuesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Wednesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Friday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Saturday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm"
"103","2080 Vernon St Lumby, V0E 2G0","(250) 547-2322","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"104","15 - 1199 Lynn Valley Rd North Vancouver, V7J 3H2","(604) 981-0014","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 5:00pm"
"105","403 MacKenzie Blvd MacKenzie, V0J 2C0","(250) 997-3700","Monday: 9:30 am - 7:00 pm|Tuesday: 9:30 am - 7:00 pm|Wednesday: 9:30 am - 7:00 pm|Thursday: 9:30 am - 7:00 pm|Friday: 9:30 am - 9:00 pm|Saturday: 9:30 am - 7:00 pm"
"106","1-12887 Madeira Park Road Madeira Park, V0N 2H0","(604) 883-2737","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"107","1525 West 70th Ave Vancouver, V6P 5A1","(604) 266-5931","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"108","2072 Collison Masset, V0T 1M0","(250) 626-5111","Monday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Tuesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Wednesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Friday: 10:30am - 8:00pm|- Closed for lunch 1pm-2pm|Saturday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm"
"109","500 Robson Ctr, Hwy 16 McBride, V0J 2E0","(250) 569-2385","Monday: 10:30am - 6:00pm|Tuesday: 10:30am - 6:00pm|Wednesday: 10:30am - 6:00pm|Thursday: 10:30am - 6:00pm|Friday: 10:30am - 8:00pm|Saturday: 10:30am - 6:00pm"
"110","810 - 19800 Lougheed Hwy Pitt Meadows, V3Y 2W1","(604) 460-2601","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"111","104 - 1700 Garcia St Merritt, V1K 1B8","(250) 378-9384","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"112","270 - 2720 Mill Bay Rd Mill Bay, V0R 2P1","(250) 743-2161","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"113","207-32530 Lougheed Hwy Mission, V2V 1A5","(604) 826-2541","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"114","87 5th Ave W Nakusp, V0G 1R0","(250) 265-3654","Monday: 9:30am - 7:00pm|Tuesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Wednesday: 9:30am - 7:00pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Friday: 10:30am - 8:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"115","3-5765 Turner Rd Nanaimo, V9T 6L8","(250) 729-2647","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"116","650 Terminal Ave Nanaimo, V9R 5E2","(250) 716-5205","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"117","1533 Estevan Rd Nanaimo, V9S 3Y3","(250) 741-5560","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"118","209 Anderson St Nelson, V1L 3X8","(250) 354-6119","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"119","Josephine Street New Denver, V0G 1S0","(250) 358-2341","Monday: 10:30am - 6:00pm|Tuesday: 10:30am - 6:00pm|Wednesday: 10:30am - 6:00pm|Thursday: 10:30am - 6:00pm|Friday: 10:30am - 6:00pm|Saturday: 10:30am - 6:00pm"
"120","1075 Columbia Street New Westminster, V3M 1C4","(604) 660-8699","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"121","140 - 1097 Nicola Avenue Port Coquitlam, V3B 8B2","(604) 464-3576","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"122","116 - 12080 Nordel Way Surrey, V3W 1P6","(604) 501-3201","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"123","4450 Hastings St E Burnaby, V5C 2K2","(604) 660-7366","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"124","3433 North Road Burnaby, V3J 0A9","(604) 664-0844","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"125","12881 - 16th Ave Surrey, V4A 1N5","(604) 531-7711","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"126","5966 Main Street Oliver, V0H 1T0","(250) 498-3611","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"127","8110 Main Street Osoyoos, V0H 1V0","(250) 495-7321","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"128","570 Park Royal North West Vancouver, V7T 1A1","(604) 981-0011","Monday: 9:30am - 11:00pm|Tuesday: 9:30am - 11:00pm|Wednesday: 9:30am - 11:00pm|Thursday: 9:30am - 11:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"129","319B East Island Hwy Parksville, V9P 2G3","(250) 248-6531","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"130","810 Island Hwy West, Parksville Parksville, V9P 2B7","(250) 248-3724","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"131","7445 Frontier Street Pemberton, V0N 2L1","(604) 894-6534","Monday: 10:00am - 7:00pm|Tuesday: 10:00am - 7:00pm|Wednesday: 10:00am - 7:00pm|Thursday: 10:00am - 7:00pm|Friday: 10:00am - 9:00pm|Saturday: 10:00am - 9:00pm|Sunday: 11:00am - 6:00pm"
"132","Unit #6 - 4605 Bedwell Harbour Road Pender Island, V0N 2M0","(250) 629-3413","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 7:00pm|Sunday: 11:00am - 6:00pm"
"133","208 - 15355 24th Ave Surrey, V4A 2H9","(604) 535-8259","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"134","405 - 1301 Main St Penticton, V2A 5E9","(250) 492-1319","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"135","3764 - 10th Ave Port Alberni, V9Y 4W6","(250) 724-9286","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"136","1071 Marine Drive Port Alice, V0N 2N0","(250) 284-3436","Monday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Tuesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Wednesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Friday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Saturday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm"
"137","8775 Granville St. Port Hardy, V0N 2P0","(250) 949-6636","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"138","1705 Campbell Way Port McNeill, V0N 2R0","(250) 956-4142","Monday: 9:30am - 6:00pm|Tuesday: 9:30am - 6:00pm|Wednesday: 9:30am - 6:00pm|Thursday: 9:30am - 6:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 6:00pm"
"139","130 Brew Street Port Moody, V3H 0E4","(604) 933-2094","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"140","91-7100 Alberni St Powell River, V8A 5K9","(604) 485-6311","Monday: 9:30am - 6:00pm|Tuesday: 9:30am - 6:00pm|Wednesday: 9:30am - 6:00pm|Thursday: 9:30am - 6:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 6:00pm|Sunday: 11:00am - 6:00pm"
"141","5242 Domano Blvd Prince George, V2N 4A1","(250) 964-4333","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"142","6555 Hart Highway Prince George, V2K 2H7","(250) 962-6364","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"143","3173 Massey Drive Prince George, V2N 2S9","(250) 561-5608","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"144","100 2nd Ave W Prince Rupert, V8J 1G3","(250) 624-7424","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"145","130 Harold St Princeton, VOX 1W0","(250) 295-6011","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"146","706 Primrose St Qualicum, V9K 1T2","(250) 752-9931","Monday: 9:30am - 6:00pm|Tuesday: 9:30am - 6:00pm|Wednesday: 9:30am - 6:00pm|Thursday: 9:30am - 6:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"147","115 - 3rd Ave Queen Charlotte City, V0T 1S0","(250) 559-4726","Monday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Tuesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Wednesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Friday: 10:30am - 8:00pm|- Closed for lunch 1pm-2pm|Saturday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Sunday: 11:00am - 6:00pm"
"148","488 Reid St Quesnel, V2J 2M6","(250) 992-4296","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"149","7531 Hwy 95 Radium, V0A 1M0","(250) 347-9536","Monday: 10:30am - 6:00pm|Tuesday: 10:30am - 6:00pm|Wednesday: 10:30am - 6:00pm|Thursday: 10:30am - 6:00pm|Friday: 10:30am - 8:00pm|Saturday: 10:30am - 6:00pm|Sunday: 11:00am - 6:00pm"
"150","111 Campbell Ave Revelstoke, V0E 2S0","(250) 837-7676","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"151","100 - 8100 Ackroyd Rd Richmond, V6X 3K2","(604) 278-2343","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"152","3170-11666 Steveston Hwy Richmond, V7A 5J3","(604) 664-0701","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"153","10 - 8671 No. 1 Rd Richmond, V7C 1V2","(604) 277-4216","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"154","1716 Robson Street Vancouver, V6G 1E2","(604) 660-9031","Monday: 9:30am - 11:00pm|Tuesday: 9:30am - 11:00pm|Wednesday: 9:30am - 11:00pm|Thursday: 9:30am - 11:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"155","2065 Columbia Ave Rossland, V0G 1Y0","(250) 362-7532","Monday: 9:30 am - 7:00 pm|- Closed for lunch 1pm-2pm|Tuesday: 9:30 am - 7:00 pm|- Closed for lunch 1pm-2pm|Wednesday: 9:30 am - 7:00 pm|- Closed for lunch 1pm-2pm|Thursday: 9:30 am - 7:00 pm|- Closed for lunch 1pm-2pm|Friday: 9:30 am - 9:00 pm|Saturday: 9:30 am - 9:00 pm"
"156","800 McBride Blvd New Westminster, V3L 2B8","(604) 660-8730","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 7:00pm"
"157","1087 McKenzie Ave Victoria, V8P 2L5","(250) 952-4001","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"158","115 Main St Salmo, V0G 1Z0","(250) 357-9351","Monday: 10:30am - 6:00pm|Tuesday: 10:30am - 6:00pm|Wednesday: 10:30am - 6:00pm|Thursday: 10:30am - 6:00pm|Friday: 10:30am - 6:00pm|Saturday: 10:30am - 6:00pm|Sunday: 11:00am - 6:00pm"
"159","360 Trans-Canada Highway Salmon Arm, V1E 1B6","(250) 833-7447","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"160","7544 Vedder Rd Chilliwack, V2R 4E7","(604) 858-9609","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"161","7017 - 120th St Delta, V4E 2A9","(604) 591-3433","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"162","5755 Cowrie Street Sechelt, V0N 3A0","(604) 885-9794","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"163","1711 152nd Street Surrey, V4A 4N3","(604) 542-3990","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"164","309 Main Street Sicamous, V0E 2V0","(250) 836-2218","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 7:00pm|Sunday: 11:00am - 6:00pm"
"165","2335 Beacon Ave Sidney, V8L 1W9","(250) 656-3041","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"166","3664 Highway 16 East Smithers, V0J 2N0","(250) 877-4508","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
